iter	RMSE
0	0.9011991682
1	0.8738783557
2	0.8486544078
3	0.8246058556
4	0.8019851991
5	0.7823829051
6	0.7630662699
7	0.7458105034
8	0.7306392261
9	0.7155742575
10	0.7014252024
11	0.6895268752
12	0.6763210597
13	0.6646698083
14	0.6538538848
15	0.6430202468
16	0.6341723291
17	0.6257324325
18	0.6181876436
19	0.6103260314
20	0.6028407449
21	0.595670551
22	0.5889208193
23	0.5834635042
24	0.577485638
25	0.5725241776
26	0.5676413683
27	0.5632867925
28	0.5589944068
29	0.5544455529
30	0.5506416456
31	0.5468677171
32	0.5433844321
33	0.5402864734
34	0.5367800015
35	0.5336839044
36	0.5309357583
37	0.5272575238
38	0.5248269818
39	0.5224634184
40	0.520591558
41	0.5175316659
42	0.5150442102
43	0.5128553199
44	0.5111830572
45	0.5093497432
46	0.5076613133
47	0.5059631415
48	0.5041267858
49	0.5023960561
50	0.5006637446
51	0.4987901571
52	0.4974761242
53	0.4960053865
54	0.4946575831
55	0.4934027225
56	0.4919622378
57	0.4906435605
58	0.4894684162
59	0.4882615774
60	0.4874286436
61	0.4864402676
62	0.4854482963
63	0.4843266014
64	0.483291829
65	0.4820607474
66	0.4813621127
67	0.48040191
68	0.4796106392
69	0.4789997943
70	0.4782139565
71	0.4774613543
72	0.476423987
73	0.4757909176
74	0.4749124311
75	0.4738057527
76	0.4730573453
77	0.4720565597
78	0.4711735361
79	0.4704866317
80	0.4696421219
81	0.4690509771
82	0.4679875534
83	0.4673978037
84	0.4662219813
85	0.4655882968
86	0.4650188519
87	0.4642221515
88	0.4635441106
89	0.4628133032
90	0.4621125402
91	0.461641756
92	0.4611022514
93	0.4603702688
94	0.4598602147
95	0.4593833472
96	0.4585869459
97	0.4579855044
98	0.4574707302
99	0.4571344267
100	0.4563306643
101	0.4556510814
102	0.4550412681
103	0.4545480497
104	0.4538804295
105	0.4532259593
106	0.4525872925
107	0.451775374
108	0.4514203578
109	0.4509363346
110	0.4505303066
111	0.4501837618
112	0.4492929327
113	0.4488578867
114	0.4482715542
115	0.4476607559
116	0.447301183
117	0.4467885235
118	0.4460743032
119	0.4456686253
120	0.4452102573
121	0.4447436543
122	0.4442232659
123	0.4438421228
124	0.4433011733
125	0.4430224364
126	0.4425813067
127	0.4420534532
128	0.4413934229
129	0.4407981855
130	0.4405419327
131	0.4401710436
132	0.4396386131
133	0.4390127739
134	0.4385460307
135	0.4382875799
136	0.4376976973
137	0.4374030739
138	0.4367644527
139	0.4364660215
140	0.4360066685
141	0.4354588112
142	0.4350833368
143	0.4344493933
144	0.4338874143
145	0.4333823547
146	0.4328692932
147	0.4323966382
148	0.4320565876
149	0.4317105633
150	0.431355421
151	0.4309636386
152	0.4304958605
153	0.4300266812
154	0.4294445758
155	0.4292177947
156	0.428736519
157	0.4281501554
158	0.4277751226
159	0.427350292
160	0.4268999682
161	0.4262799137
162	0.4259754757
163	0.4254770616
164	0.4251123335
165	0.424854675
166	0.4244844697
167	0.4241658232
168	0.423740524
169	0.4232780671
170	0.4229952451
171	0.422195494
172	0.4217807944
173	0.4215258004
174	0.421277564
175	0.4206256876
176	0.4202900764
177	0.4197598617
178	0.4195192192
179	0.41889625
180	0.4184801434
181	0.4179797072
182	0.4175717046
183	0.4172075658
184	0.417037948
185	0.4164442999
186	0.4160961278
187	0.4155348231
188	0.4151397401
189	0.4147639751
190	0.4143592764
191	0.4140420929
192	0.413675572
193	0.4132340206
194	0.4128396768
195	0.4126512742
196	0.4124231559
197	0.4118838901
198	0.4114767177
199	0.4112167783
200	0.4104022562
201	0.4100030172
202	0.4095788259
203	0.4091877004
204	0.4090070902
205	0.4088368201
206	0.4084532246
207	0.4077078729
208	0.4074203687
209	0.4071697138
210	0.4068588281
211	0.4063650303
212	0.405884862
213	0.4054414495
214	0.4052374227
215	0.4049229151
216	0.4044510133
217	0.4038762056
218	0.4032083699
219	0.4027886806
220	0.4023188376
221	0.4019879071
222	0.4018363971
223	0.40151615
224	0.4011135835
225	0.4007439386
226	0.4004690542
227	0.4000500929
228	0.3996940312
229	0.3992602108
230	0.3989160273
231	0.3987496573
232	0.3984539082
233	0.3979207017
234	0.3974978482
235	0.3971124139
236	0.3966544944
237	0.3961475451
238	0.3957911217
239	0.3952162805
240	0.3949706434
241	0.3947673157
242	0.3943090767
243	0.3940525837
244	0.393762508
245	0.3934375357
246	0.3931983698
247	0.3928006675
248	0.3925415739
249	0.3920601178
250	0.3918013551
251	0.3914374823
252	0.3912967066
253	0.3909968279
254	0.3905393304
255	0.3902862055
256	0.3901247859
257	0.3898514753
258	0.3895417801
259	0.3891751573
260	0.3888052706
261	0.3884014103
262	0.3881177308
263	0.3877797706
264	0.3873914372
265	0.3870702051
266	0.3866712455
267	0.3863355331
268	0.3860427424
269	0.3858236257
270	0.3854973159
271	0.3851879536
272	0.3849696526
273	0.3847526078
274	0.3844490949
275	0.3840698193
276	0.3839101739
277	0.3836302754
278	0.3834123503
279	0.3832280561
280	0.3829302367
281	0.3824993175
282	0.3820978135
283	0.3816768065
284	0.3813061774
285	0.3810335452
286	0.3808391101
287	0.380530607
288	0.3803083173
289	0.3798792105
290	0.379599078
291	0.3793131882
292	0.3788596937
293	0.3786655715
294	0.3783853701
295	0.3778893009
296	0.377629039
297	0.3771268646
298	0.3766950242
299	0.3765264169
300	0.3761550022
301	0.3759630186
302	0.3756417692
303	0.3752104135
304	0.3749286987
305	0.3745322245
306	0.3741908362
307	0.3739527685
308	0.3734923169
309	0.3730486549
310	0.3728341654
311	0.3724466335
312	0.3722579076
313	0.3720029639
314	0.3715460256
315	0.3713388211
316	0.3710593556
317	0.370805537
318	0.3705145141
319	0.3703712284
320	0.3699002427
321	0.3697334131
322	0.3692788097
323	0.3688350326
324	0.3684418031
325	0.368098318
326	0.3677232719
327	0.3675989907
328	0.3673316605
329	0.367059589
330	0.3668343843
331	0.3665439763
332	0.3661900221
333	0.3659424081
334	0.3656303896
335	0.3653740196
336	0.3652423851
337	0.3650542478
338	0.364779284
339	0.3645292793
340	0.3641846124
341	0.3639114965
342	0.3635948193
343	0.3631336335
344	0.3630355351
345	0.3627263457
346	0.3623608455
347	0.3621173368
348	0.3618526538
349	0.3614685199
350	0.361260524
351	0.3610109574
352	0.3607671204
353	0.3605230187
354	0.3602131892
355	0.3599874181
356	0.3598047899
357	0.3595503712
358	0.3592637302
359	0.3589630496
360	0.3584675819
361	0.3582523227
