iter	Passed	Remaining
0	2	4842
1	4	4814
2	6	4567
3	9	4530
4	11	4460
5	13	4383
6	15	4369
7	17	4358
8	19	4341
9	21	4304
10	23	4310
11	25	4298
12	28	4301
13	30	4294
14	32	4295
15	34	4313
16	37	4357
17	39	4374
18	41	4359
19	44	4366
20	46	4360
21	48	4369
22	51	4397
23	53	4399
24	56	4472
25	58	4465
26	61	4474
27	63	4465
28	65	4478
29	68	4490
30	70	4473
31	72	4468
32	74	4457
33	77	4455
34	79	4442
35	81	4446
36	83	4442
37	85	4435
38	88	4431
39	91	4468
40	93	4458
41	95	4446
42	97	4438
43	99	4434
44	101	4430
45	104	4427
46	106	4427
47	108	4430
48	111	4447
49	114	4467
50	117	4475
51	119	4467
52	121	4468
53	124	4472
54	126	4465
55	128	4465
56	130	4459
57	132	4452
58	135	4446
59	137	4454
60	140	4454
61	142	4450
62	144	4447
63	146	4441
64	149	4443
65	151	4436
66	153	4435
67	155	4424
68	157	4420
69	160	4418
70	162	4411
71	164	4410
72	167	4421
73	169	4415
74	172	4417
75	174	4417
76	176	4416
77	179	4413
78	181	4405
79	183	4405
80	185	4398
81	188	4400
82	190	4395
83	192	4389
84	194	4387
85	196	4380
86	199	4378
87	201	4377
88	204	4381
89	206	4375
90	208	4371
91	210	4364
92	216	4443
93	219	4449
94	222	4459
95	224	4453
96	226	4446
97	229	4450
98	231	4447
99	233	4442
100	236	4447
101	238	4441
102	240	4433
103	243	4430
104	245	4426
105	247	4420
106	249	4415
107	251	4412
108	254	4412
109	256	4407
110	258	4403
111	261	4400
112	263	4396
113	265	4392
114	267	4387
115	269	4384
116	272	4381
117	274	4375
118	276	4371
119	278	4366
120	281	4370
121	283	4365
122	285	4363
123	288	4358
124	290	4354
125	292	4351
126	294	4348
127	296	4342
128	299	4337
129	301	4332
130	303	4325
131	305	4323
132	307	4317
133	309	4315
134	312	4313
135	314	4308
136	316	4304
137	318	4300
138	320	4295
139	322	4290
140	325	4288
141	327	4287
142	329	4284
143	332	4289
144	335	4285
145	337	4282
146	339	4279
147	341	4275
148	344	4274
149	346	4269
150	348	4264
151	350	4260
152	352	4256
153	354	4252
154	356	4248
155	359	4247
156	361	4242
157	363	4238
158	365	4234
159	368	4232
160	370	4230
161	372	4225
162	374	4222
163	377	4221
164	379	4219
165	381	4215
166	383	4212
167	386	4210
168	388	4212
169	391	4210
170	393	4205
171	395	4205
172	397	4202
173	400	4203
174	402	4201
175	405	4201
176	407	4198
177	409	4194
178	412	4192
179	414	4191
180	417	4190
181	419	4188
182	421	4187
183	423	4184
184	426	4182
185	428	4178
186	430	4174
187	432	4169
188	435	4172
189	437	4170
190	440	4168
191	442	4166
192	444	4163
193	446	4160
194	449	4156
195	451	4153
196	453	4153
197	456	4150
198	458	4146
199	460	4143
200	462	4140
201	465	4139
202	467	4137
203	469	4134
204	471	4131
205	474	4130
206	476	4130
207	479	4127
208	481	4125
209	484	4129
210	486	4128
211	489	4126
212	491	4124
213	495	4137
214	498	4136
215	500	4132
216	502	4131
217	505	4132
218	507	4130
219	510	4127
220	512	4125
221	514	4123
222	517	4119
223	519	4116
224	521	4113
225	523	4110
226	525	4107
227	527	4103
228	530	4100
229	532	4095
230	534	4093
231	536	4090
232	539	4087
233	541	4083
234	543	4080
235	545	4077
236	547	4075
237	550	4073
238	552	4070
239	554	4068
240	556	4064
241	559	4063
242	561	4062
243	564	4061
244	566	4059
245	568	4056
246	571	4054
247	573	4053
248	575	4050
249	578	4048
250	580	4044
251	582	4041
252	585	4040
253	587	4038
254	589	4035
255	592	4033
256	594	4030
257	597	4031
258	599	4030
259	601	4028
260	604	4025
261	606	4021
262	608	4017
263	610	4014
264	612	4012
265	615	4009
266	617	4007
267	621	4013
268	623	4010
269	627	4022
270	629	4019
271	631	4014
272	633	4010
273	636	4008
274	638	4007
275	641	4004
276	643	4002
277	645	4000
278	648	3997
279	650	3994
280	652	3991
281	654	3990
282	657	3987
283	659	3985
284	662	3984
285	664	3981
286	666	3977
287	668	3975
288	671	3973
289	673	3971
290	675	3966
291	677	3964
292	679	3961
293	682	3958
294	684	3955
295	687	3954
296	689	3952
297	691	3949
298	694	3950
299	696	3947
300	698	3945
301	701	3942
302	703	3942
303	706	3939
304	708	3935
305	710	3934
306	713	3932
307	715	3931
308	718	3929
309	720	3927
310	722	3924
311	725	3923
312	727	3919
313	729	3918
314	731	3915
315	734	3913
316	736	3910
317	739	3909
318	741	3905
319	743	3903
320	746	3903
321	748	3900
322	750	3898
323	752	3894
324	757	3902
325	760	3902
326	762	3899
327	764	3896
328	766	3894
329	769	3891
330	771	3888
331	773	3886
332	775	3884
333	778	3882
334	780	3880
335	783	3880
336	785	3878
337	787	3874
338	790	3871
339	792	3868
340	794	3867
341	797	3865
342	799	3862
343	801	3860
344	803	3856
345	806	3853
346	808	3850
347	810	3848
348	812	3845
349	815	3843
350	818	3843
351	820	3840
352	822	3837
353	824	3835
354	827	3832
355	829	3830
356	831	3826
357	833	3825
358	836	3822
359	838	3820
360	840	3817
361	842	3813
362	844	3810
363	847	3810
364	850	3808
365	852	3804
366	854	3802
367	857	3800
368	859	3798
369	861	3795
370	863	3793
371	866	3791
372	868	3788
373	870	3785
374	872	3782
375	875	3780
376	877	3777
377	879	3774
378	881	3771
379	884	3770
380	886	3767
381	889	3765
382	891	3762
383	893	3760
384	897	3762
385	899	3760
386	901	3756
387	903	3754
388	906	3752
389	908	3750
390	910	3746
391	912	3743
392	914	3741
393	917	3738
394	919	3735
395	922	3734
396	924	3731
397	926	3729
398	928	3725
399	930	3723
400	933	3721
401	935	3718
402	937	3715
403	939	3712
404	942	3710
405	944	3709
406	946	3706
407	949	3703
408	951	3700
409	953	3698
410	956	3697
411	958	3695
412	960	3692
413	963	3689
414	965	3686
415	967	3684
416	969	3681
417	972	3679
418	974	3676
419	976	3674
420	979	3674
421	981	3671
422	984	3669
423	988	3672
424	990	3672
425	993	3669
426	995	3667
427	997	3663
428	999	3660
429	1001	3657
430	1004	3655
431	1006	3652
432	1008	3649
433	1011	3648
434	1013	3647
435	1015	3644
436	1018	3641
437	1020	3638
438	1022	3636
439	1024	3633
440	1027	3631
441	1029	3628
442	1031	3627
443	1034	3624
444	1036	3621
445	1038	3618
446	1040	3615
447	1043	3613
448	1045	3611
449	1047	3609
450	1050	3606
451	1052	3603
452	1055	3603
453	1059	3607
454	1061	3604
455	1063	3601
456	1066	3599
457	1068	3597
458	1070	3594
459	1073	3593
460	1075	3590
461	1077	3588
462	1080	3585
463	1082	3582
464	1084	3579
465	1086	3576
466	1088	3574
467	1091	3572
468	1094	3572
469	1096	3569
470	1098	3566
471	1100	3564
472	1103	3561
473	1105	3558
474	1107	3556
475	1109	3553
476	1112	3551
477	1114	3549
478	1118	3550
479	1120	3548
480	1122	3545
481	1125	3543
482	1127	3540
483	1129	3538
484	1131	3535
485	1134	3534
486	1137	3532
487	1139	3530
488	1141	3527
489	1143	3523
490	1145	3521
491	1148	3518
492	1150	3516
493	1152	3513
494	1154	3510
495	1157	3508
496	1159	3507
497	1162	3505
498	1164	3503
499	1167	3503
500	1170	3502
501	1173	3500
502	1175	3498
503	1178	3496
504	1180	3494
505	1183	3493
506	1185	3490
507	1187	3489
508	1191	3490
509	1193	3488
510	1195	3484
511	1198	3482
512	1200	3479
513	1202	3476
514	1204	3473
515	1206	3471
516	1209	3469
517	1211	3466
518	1213	3463
519	1215	3460
520	1218	3458
521	1220	3455
522	1222	3453
523	1225	3452
524	1227	3449
525	1230	3447
526	1232	3445
527	1234	3442
528	1236	3439
529	1239	3436
530	1241	3433
531	1243	3431
532	1247	3432
533	1249	3430
534	1251	3428
535	1254	3425
536	1256	3422
537	1258	3420
538	1261	3418
539	1263	3415
540	1265	3413
541	1270	3418
542	1273	3417
543	1276	3416
544	1278	3414
545	1281	3411
546	1283	3409
547	1285	3406
548	1288	3405
549	1291	3404
550	1298	3415
551	1301	3413
552	1303	3411
553	1306	3409
554	1308	3406
555	1310	3403
556	1312	3400
557	1314	3398
558	1317	3395
559	1319	3392
560	1321	3390
561	1324	3388
562	1326	3385
563	1328	3382
564	1331	3380
565	1333	3379
566	1336	3378
567	1338	3374
568	1340	3371
569	1342	3369
570	1345	3366
571	1347	3363
572	1349	3360
573	1351	3358
574	1354	3355
575	1356	3353
576	1358	3350
577	1361	3348
578	1363	3345
579	1365	3343
580	1367	3340
581	1369	3337
582	1372	3334
583	1374	3331
584	1376	3329
585	1378	3326
586	1380	3323
587	1383	3321
588	1385	3319
589	1387	3316
590	1390	3314
591	1392	3311
592	1394	3309
593	1397	3306
594	1399	3304
595	1402	3302
596	1404	3300
597	1406	3297
598	1408	3295
599	1411	3292
600	1413	3290
601	1415	3287
602	1418	3285
603	1420	3282
604	1422	3279
605	1424	3277
606	1426	3274
607	1429	3272
608	1431	3269
609	1433	3266
610	1435	3264
611	1437	3261
612	1440	3258
613	1442	3256
614	1444	3253
615	1447	3251
616	1449	3248
617	1451	3245
618	1453	3243
619	1456	3241
620	1458	3239
621	1461	3237
622	1463	3234
623	1465	3232
624	1468	3229
625	1470	3227
626	1472	3225
627	1474	3222
628	1477	3219
629	1479	3217
630	1481	3214
631	1484	3212
632	1486	3209
633	1488	3207
634	1490	3204
635	1493	3203
636	1495	3200
637	1498	3197
638	1500	3195
639	1502	3193
640	1505	3190
641	1507	3187
642	1509	3184
643	1511	3182
644	1514	3181
645	1516	3178
646	1519	3177
647	1521	3174
648	1523	3172
649	1526	3169
650	1528	3166
651	1530	3164
652	1532	3161
653	1534	3159
654	1537	3156
655	1542	3161
656	1545	3158
657	1547	3156
658	1549	3153
659	1552	3151
660	1554	3148
661	1556	3145
662	1558	3143
663	1561	3141
664	1563	3139
665	1566	3136
666	1568	3134
667	1570	3132
668	1573	3129
669	1575	3127
670	1577	3125
671	1580	3122
672	1582	3120
673	1584	3118
674	1587	3115
675	1589	3112
676	1591	3110
677	1593	3107
678	1596	3105
679	1598	3103
680	1601	3101
681	1603	3098
682	1605	3096
683	1608	3094
684	1610	3092
685	1613	3089
686	1615	3087
687	1618	3085
688	1620	3082
689	1622	3080
690	1625	3078
691	1627	3075
692	1629	3072
693	1631	3070
694	1634	3068
695	1636	3066
696	1639	3064
697	1641	3061
698	1643	3059
699	1645	3056
700	1647	3053
701	1650	3050
702	1652	3048
703	1654	3046
704	1656	3043
705	1659	3041
706	1661	3038
707	1663	3035
708	1665	3033
709	1668	3031
710	1670	3028
711	1672	3026
712	1675	3024
713	1677	3021
714	1680	3020
715	1682	3018
716	1685	3015
717	1687	3013
718	1689	3010
719	1691	3007
720	1694	3005
721	1696	3003
722	1699	3001
723	1701	2999
724	1703	2996
725	1706	2993
726	1708	2991
727	1710	2988
728	1712	2985
729	1714	2983
730	1717	2980
731	1719	2978
732	1721	2975
733	1724	2973
734	1726	2971
735	1728	2969
736	1731	2966
737	1733	2965
738	1736	2962
739	1738	2960
740	1740	2957
741	1742	2954
742	1744	2952
743	1747	2949
744	1749	2946
745	1751	2944
746	1753	2942
747	1756	2939
748	1758	2937
749	1760	2934
750	1763	2932
751	1765	2930
752	1768	2928
753	1770	2926
754	1773	2923
755	1775	2922
756	1778	2921
757	1781	2919
758	1785	2919
759	1788	2917
760	1790	2915
761	1793	2913
762	1795	2910
763	1797	2908
764	1800	2906
765	1804	2906
766	1807	2904
767	1809	2902
768	1811	2899
769	1813	2897
770	1816	2895
771	1818	2892
772	1821	2890
773	1823	2888
774	1825	2885
775	1828	2883
776	1830	2880
777	1832	2878
778	1835	2876
779	1837	2873
780	1839	2871
781	1842	2869
782	1844	2867
783	1846	2864
784	1848	2861
785	1851	2859
786	1853	2857
787	1857	2856
788	1859	2854
789	1861	2851
790	1864	2850
791	1867	2847
792	1869	2845
793	1871	2842
794	1873	2840
795	1876	2837
796	1878	2835
797	1883	2837
798	1886	2835
799	1889	2833
800	1891	2831
801	1894	2830
802	1897	2828
803	1899	2826
804	1902	2824
805	1905	2823
806	1908	2820
807	1910	2818
808	1912	2816
809	1915	2813
810	1917	2811
811	1919	2808
812	1922	2806
813	1924	2804
814	1927	2802
815	1929	2799
816	1932	2797
817	1934	2795
818	1936	2792
819	1939	2790
820	1941	2787
821	1943	2785
822	1946	2783
823	1948	2780
824	1950	2777
825	1952	2775
826	1955	2772
827	1957	2770
828	1959	2768
829	1962	2766
830	1964	2763
831	1966	2760
832	1968	2757
833	1971	2755
834	1973	2753
835	1975	2750
836	1977	2748
837	1981	2748
838	1984	2745
839	1986	2743
840	1989	2741
841	1991	2738
842	1993	2736
843	1995	2733
844	1998	2731
845	2000	2728
846	2002	2726
847	2005	2724
848	2007	2722
849	2010	2720
850	2013	2718
851	2015	2715
852	2017	2713
853	2019	2710
854	2022	2708
855	2024	2705
856	2026	2702
857	2028	2700
858	2031	2697
859	2033	2695
860	2036	2693
861	2038	2690
862	2040	2688
863	2042	2686
864	2045	2683
865	2047	2681
866	2050	2678
867	2052	2676
868	2054	2673
869	2056	2671
870	2059	2668
871	2063	2669
872	2066	2667
873	2068	2664
874	2070	2662
875	2073	2660
876	2075	2658
877	2078	2655
878	2080	2653
879	2082	2650
880	2084	2647
881	2087	2645
882	2089	2642
883	2091	2640
884	2093	2637
885	2095	2635
886	2098	2632
887	2100	2630
888	2103	2628
889	2105	2625
890	2107	2623
891	2110	2621
892	2112	2618
893	2114	2616
894	2116	2613
895	2118	2610
896	2121	2608
897	2123	2606
898	2125	2603
899	2127	2600
900	2130	2598
901	2132	2595
902	2134	2593
903	2136	2590
904	2138	2587
905	2141	2585
906	2143	2582
907	2145	2580
908	2147	2577
909	2150	2575
910	2152	2572
911	2154	2570
912	2157	2568
913	2159	2565
914	2161	2563
915	2163	2560
916	2166	2558
917	2168	2555
918	2170	2552
919	2172	2550
920	2174	2547
921	2177	2545
922	2179	2543
923	2181	2540
924	2184	2538
925	2186	2536
926	2188	2533
927	2191	2531
928	2193	2528
929	2195	2526
930	2198	2524
931	2200	2521
932	2202	2518
933	2204	2516
934	2207	2513
935	2209	2511
936	2212	2509
937	2214	2507
938	2216	2504
939	2218	2502
940	2221	2499
941	2223	2497
942	2225	2495
943	2228	2493
944	2230	2490
945	2233	2487
946	2235	2485
947	2237	2483
948	2240	2481
949	2242	2479
950	2245	2476
951	2247	2474
952	2249	2471
953	2252	2469
954	2254	2467
955	2256	2464
956	2258	2461
957	2261	2459
958	2264	2457
959	2266	2454
960	2268	2452
961	2270	2449
962	2273	2447
963	2275	2445
964	2277	2442
965	2279	2440
966	2281	2437
967	2284	2435
968	2286	2432
969	2288	2430
970	2290	2427
971	2292	2424
972	2295	2422
973	2297	2420
974	2300	2418
975	2302	2415
976	2305	2413
977	2307	2411
978	2309	2408
979	2311	2406
980	2314	2403
981	2316	2401
982	2318	2399
983	2321	2396
984	2323	2394
985	2325	2391
986	2328	2389
987	2330	2386
988	2332	2384
989	2334	2381
990	2337	2380
991	2340	2377
992	2342	2375
993	2345	2373
994	2347	2371
995	2349	2368
996	2352	2366
997	2354	2363
998	2356	2361
999	2358	2358
1000	2361	2356
1001	2363	2354
1002	2365	2351
1003	2368	2349
1004	2370	2346
1005	2372	2344
1006	2375	2342
1007	2377	2339
1008	2379	2337
1009	2381	2334
1010	2384	2332
1011	2386	2330
1012	2388	2327
1013	2391	2324
1014	2393	2322
1015	2395	2320
1016	2398	2317
1017	2400	2315
1018	2402	2312
1019	2404	2310
1020	2407	2308
1021	2409	2305
1022	2412	2303
1023	2414	2301
1024	2416	2298
1025	2418	2296
1026	2422	2295
1027	2425	2293
1028	2427	2290
1029	2429	2288
1030	2431	2285
1031	2434	2283
1032	2436	2280
1033	2438	2278
1034	2440	2275
1035	2445	2275
1036	2447	2272
1037	2450	2270
1038	2452	2268
1039	2454	2265
1040	2457	2263
1041	2459	2261
1042	2462	2259
1043	2464	2256
1044	2467	2254
1045	2469	2252
1046	2471	2249
1047	2473	2247
1048	2476	2244
1049	2478	2242
1050	2480	2239
1051	2483	2238
1052	2486	2235
1053	2488	2233
1054	2490	2230
1055	2493	2228
1056	2495	2225
1057	2497	2223
1058	2499	2221
1059	2501	2218
1060	2504	2216
1061	2506	2213
1062	2508	2211
1063	2510	2208
1064	2512	2206
1065	2515	2203
1066	2517	2201
1067	2519	2198
1068	2522	2196
1069	2524	2193
1070	2526	2191
1071	2528	2189
1072	2530	2186
1073	2532	2183
1074	2534	2181
1075	2537	2178
1076	2539	2176
1077	2542	2174
1078	2545	2172
1079	2547	2170
1080	2550	2167
1081	2552	2165
1082	2554	2163
1083	2556	2160
1084	2559	2158
1085	2562	2156
1086	2564	2153
1087	2566	2151
1088	2568	2148
1089	2571	2146
1090	2573	2144
1091	2575	2141
1092	2578	2139
1093	2580	2136
1094	2582	2134
1095	2585	2132
1096	2587	2129
1097	2589	2127
1098	2592	2125
1099	2594	2122
1100	2596	2120
1101	2599	2117
1102	2601	2115
1103	2603	2113
1104	2606	2110
1105	2609	2109
1106	2611	2106
1107	2614	2104
1108	2616	2102
1109	2619	2100
1110	2621	2097
1111	2624	2095
1112	2626	2093
1113	2628	2090
1114	2631	2088
1115	2633	2086
1116	2636	2083
1117	2638	2081
1118	2640	2079
1119	2642	2076
1120	2645	2074
1121	2648	2072
1122	2651	2070
1123	2653	2068
1124	2655	2065
1125	2658	2063
1126	2660	2060
1127	2662	2058
1128	2664	2055
1129	2666	2053
1130	2669	2050
1131	2671	2048
1132	2673	2046
1133	2676	2043
1134	2678	2041
1135	2680	2039
1136	2683	2036
1137	2685	2034
1138	2687	2031
1139	2689	2028
1140	2691	2026
1141	2693	2023
1142	2696	2021
1143	2698	2019
1144	2700	2016
1145	2703	2014
1146	2705	2012
1147	2708	2009
1148	2710	2007
1149	2713	2005
1150	2715	2002
1151	2717	2000
1152	2719	1998
1153	2722	1995
1154	2724	1993
1155	2727	1991
1156	2730	1989
1157	2732	1987
1158	2735	1984
1159	2737	1982
1160	2740	1980
1161	2742	1977
1162	2744	1975
1163	2747	1973
1164	2749	1970
1165	2751	1968
1166	2754	1966
1167	2756	1963
1168	2758	1961
1169	2761	1958
1170	2763	1956
1171	2765	1953
1172	2768	1951
1173	2770	1949
1174	2772	1946
1175	2774	1944
1176	2777	1942
1177	2779	1939
1178	2781	1936
1179	2783	1934
1180	2786	1932
1181	2788	1929
1182	2790	1927
1183	2793	1925
1184	2795	1922
1185	2798	1920
1186	2800	1918
1187	2802	1915
1188	2805	1913
1189	2808	1911
1190	2810	1908
1191	2812	1906
1192	2814	1904
1193	2817	1901
1194	2819	1899
1195	2821	1896
1196	2823	1894
1197	2825	1891
1198	2828	1889
1199	2830	1887
1200	2832	1884
1201	2835	1882
1202	2838	1880
1203	2840	1878
1204	2843	1875
1205	2846	1873
1206	2848	1871
1207	2850	1869
1208	2853	1866
1209	2856	1864
1210	2858	1862
1211	2860	1860
1212	2863	1857
1213	2865	1855
1214	2868	1853
1215	2870	1850
1216	2873	1848
1217	2875	1845
1218	2877	1843
1219	2880	1841
1220	2882	1839
1221	2885	1836
1222	2888	1834
1223	2890	1832
1224	2893	1830
1225	2895	1827
1226	2897	1825
1227	2900	1823
1228	2902	1821
1229	2905	1818
1230	2907	1816
1231	2910	1814
1232	2912	1812
1233	2917	1810
1234	2919	1808
1235	2921	1806
1236	2924	1803
1237	2927	1801
1238	2929	1799
1239	2932	1797
1240	2934	1794
1241	2936	1792
1242	2939	1790
1243	2941	1787
1244	2944	1785
1245	2946	1782
1246	2948	1780
1247	2951	1778
1248	2953	1775
1249	2955	1773
1250	2960	1772
1251	2962	1770
1252	2965	1767
1253	2967	1765
1254	2969	1762
1255	2971	1760
1256	2974	1757
1257	2976	1755
1258	2978	1753
1259	2981	1750
1260	2983	1748
1261	2985	1745
1262	2987	1743
1263	2990	1741
1264	2993	1739
1265	2995	1736
1266	2997	1734
1267	2999	1731
1268	3002	1729
1269	3004	1727
1270	3007	1724
1271	3009	1722
1272	3011	1719
1273	3014	1717
1274	3016	1715
1275	3019	1713
1276	3021	1710
1277	3023	1708
1278	3025	1705
1279	3028	1703
1280	3030	1700
1281	3032	1698
1282	3034	1696
1283	3037	1693
1284	3041	1692
1285	3045	1690
1286	3050	1689
1287	3052	1687
1288	3055	1685
1289	3057	1682
1290	3059	1680
1291	3062	1678
1292	3064	1675
1293	3066	1673
1294	3068	1670
1295	3071	1668
1296	3073	1665
1297	3075	1663
1298	3077	1660
1299	3080	1658
1300	3082	1655
1301	3084	1653
1302	3086	1651
1303	3089	1648
1304	3091	1646
1305	3093	1643
1306	3095	1641
1307	3097	1638
1308	3100	1636
1309	3103	1634
1310	3105	1632
1311	3109	1630
1312	3111	1628
1313	3114	1625
1314	3116	1623
1315	3118	1620
1316	3120	1618
1317	3122	1615
1318	3124	1613
1319	3127	1610
1320	3129	1608
