iter	RMSE
0	0.9011357363
1	0.8503449025
2	0.805814251
3	0.7656224626
4	0.7333793049
5	0.7038403059
6	0.6777095293
7	0.6566282131
8	0.6370391255
9	0.6213937259
10	0.6069635672
11	0.5923697261
12	0.5788410557
13	0.56926372
14	0.5605345157
15	0.5530628056
16	0.5467904219
17	0.540719697
18	0.5333410178
19	0.5277873507
20	0.5217843816
21	0.5162450298
22	0.5117663912
23	0.506387928
24	0.5015197727
25	0.4976660528
26	0.4939808768
27	0.4902563019
28	0.4866267069
29	0.4842011481
30	0.4821114673
31	0.4794560643
32	0.4776661433
33	0.4760347806
34	0.4743606156
35	0.4713184113
36	0.4691409156
37	0.4655956091
38	0.4635958128
39	0.4616494619
40	0.4594624146
41	0.458201731
42	0.4564290569
43	0.4549234002
44	0.4535102588
45	0.452240579
46	0.4495753779
47	0.4479916862
48	0.4466474779
49	0.4455162396
50	0.4444614236
51	0.4436050686
52	0.4422252476
53	0.4409100093
54	0.4398696887
55	0.4383858398
56	0.436824801
57	0.4344157879
58	0.4333499931
59	0.4324386265
60	0.4313476831
61	0.4306296334
62	0.429212305
63	0.4285171492
64	0.4278357878
65	0.4257024818
66	0.4245781938
67	0.4236912464
68	0.4228885363
69	0.4208722684
70	0.4194062389
71	0.4185938968
72	0.417831241
73	0.416784703
74	0.4154685262
75	0.4140640964
76	0.4129690767
77	0.4112968338
78	0.4105487782
79	0.4093063427
80	0.4081928514
81	0.4075482652
82	0.4068818867
83	0.4059815485
84	0.4050726838
85	0.4041699203
86	0.4035571752
87	0.402872476
88	0.4018600638
89	0.4010510821
90	0.4001233504
91	0.3984846956
92	0.3977924721
93	0.3970922577
94	0.3960493721
95	0.3945256122
96	0.3938379657
97	0.393055286
98	0.3918640958
99	0.3908051636
100	0.3900376767
101	0.3889338647
102	0.3881712563
103	0.3877135483
104	0.3869717346
105	0.3862698628
106	0.3857376038
107	0.3849346979
108	0.3844395682
109	0.383738638
110	0.3830910533
111	0.3823456407
112	0.3812752837
113	0.3802616087
114	0.3797258379
115	0.3787723781
116	0.3782227939
117	0.3777475483
118	0.3768376359
119	0.3757557926
120	0.3747394003
121	0.3742366636
122	0.3735752688
123	0.3726591141
124	0.3722240127
125	0.371422746
126	0.3706861143
127	0.3700964431
128	0.3690102217
129	0.3680629184
130	0.3670141276
131	0.3664860225
132	0.3656404482
133	0.3649976374
134	0.3645795427
135	0.3642220954
136	0.3637991901
137	0.36317432
138	0.3625490383
139	0.3618568305
140	0.361282413
141	0.3606993498
142	0.3599877191
143	0.3596686893
144	0.3590716887
145	0.3587129587
146	0.3582674515
147	0.3572596378
148	0.3568948486
149	0.3564329483
150	0.3557154803
151	0.3550250067
152	0.3545462629
153	0.3540468773
154	0.3534400177
155	0.3528002013
156	0.3521905254
157	0.3516484964
158	0.3507647425
159	0.3501060999
160	0.3495310071
161	0.3492011747
162	0.3486222481
163	0.3479703796
164	0.3474475204
165	0.3470522213
166	0.3463872456
167	0.3458846113
168	0.3454353182
169	0.3450636758
170	0.3445756872
171	0.3444233444
172	0.3439359659
173	0.3435187639
174	0.3431425023
175	0.3427610968
176	0.3423629719
177	0.3419878066
178	0.341367679
179	0.3409833759
180	0.3404121766
181	0.3398219313
182	0.3393611635
183	0.3389125712
184	0.3385114192
185	0.3380999025
