iter	Passed	Remaining
0	3	6832
1	5	5894
2	8	5556
3	10	5327
4	12	5186
5	15	5092
6	17	5112
7	20	5058
8	22	5031
9	25	4983
10	27	4960
11	29	4926
12	32	4896
13	34	4902
14	36	4870
15	39	4885
16	41	4853
17	44	4889
18	47	4904
19	50	4970
20	52	4964
21	55	4949
22	57	4931
23	59	4911
24	62	4924
25	64	4905
26	67	4908
27	69	4893
28	71	4882
29	74	4870
30	76	4852
31	79	4864
32	81	4848
33	83	4837
34	86	4834
35	88	4834
36	90	4824
37	93	4820
38	95	4825
39	98	4822
40	100	4815
41	103	4823
42	105	4817
43	108	4823
44	111	4823
45	113	4838
46	116	4847
47	119	4855
48	122	4877
49	125	4893
50	129	4933
51	134	5040
52	139	5137
53	148	5353
54	152	5388
55	155	5404
56	159	5428
57	163	5490
58	168	5529
59	171	5537
60	174	5531
61	176	5516
62	179	5511
63	181	5502
64	185	5519
65	188	5518
66	191	5511
67	193	5505
68	197	5513
69	199	5501
70	202	5498
71	205	5503
72	208	5496
73	210	5486
74	213	5483
75	216	5476
76	219	5472
77	221	5464
78	224	5460
79	227	5457
80	230	5454
81	232	5449
82	235	5445
83	238	5436
84	241	5435
85	243	5427
86	246	5425
87	249	5418
88	252	5421
89	255	5411
90	257	5407
91	260	5405
92	263	5398
93	265	5390
94	268	5383
95	271	5381
96	273	5372
97	276	5367
98	279	5366
99	282	5365
100	286	5377
101	290	5407
102	294	5421
103	297	5424
104	300	5428
105	304	5434
106	307	5431
107	310	5436
108	313	5436
109	316	5436
110	319	5429
111	321	5422
112	324	5422
113	327	5419
114	330	5411
115	332	5401
116	334	5389
117	337	5376
118	339	5365
119	341	5353
120	344	5342
121	346	5330
122	348	5320
123	351	5310
124	353	5298
125	355	5289
126	357	5277
127	359	5264
128	362	5252
129	364	5243
130	366	5232
131	369	5222
132	371	5211
133	373	5199
134	375	5191
135	378	5183
136	380	5173
137	382	5162
138	384	5153
139	387	5143
140	389	5137
141	391	5128
142	394	5122
143	396	5116
144	399	5107
145	401	5096
146	403	5086
147	405	5078
148	408	5070
149	410	5064
150	413	5057
151	415	5052
152	417	5045
153	420	5037
154	422	5033
155	425	5033
156	428	5028
157	430	5023
158	433	5024
159	436	5024
160	439	5020
161	442	5016
162	445	5015
163	447	5008
164	449	5001
165	452	4995
166	454	4987
167	456	4982
168	459	4982
169	462	4974
170	464	4969
171	466	4961
172	469	4954
173	471	4948
174	473	4941
175	476	4936
176	479	4935
177	482	4940
178	485	4944
179	489	4952
180	492	4952
181	495	4950
182	498	4953
183	502	4958
184	505	4963
185	509	4964
