iter	Passed	Remaining
0	0	566
1	0	552
2	0	625
3	1	615
4	1	580
5	1	556
6	1	536
7	2	522
8	2	519
9	2	514
10	2	512
11	3	512
12	3	510
13	3	510
14	3	508
15	4	506
16	4	500
17	4	494
18	4	492
19	4	489
20	5	485
21	5	481
22	5	479
23	5	475
24	5	472
25	6	469
26	6	467
27	6	464
28	6	462
29	7	460
30	7	461
31	7	461
32	8	487
33	8	489
34	8	489
35	9	497
36	9	501
37	9	502
38	9	500
39	10	507
40	10	511
41	10	509
42	11	508
43	11	508
44	11	508
45	11	509
46	12	506
47	12	504
48	12	502
49	12	500
50	13	502
51	13	501
52	13	501
53	13	500
54	14	499
55	14	499
56	14	498
57	14	498
58	15	496
59	15	494
60	15	494
61	15	493
62	16	493
63	16	493
64	16	491
65	16	490
66	16	489
67	17	489
68	17	490
69	17	489
70	18	489
71	18	488
72	18	487
73	18	487
74	18	487
75	19	486
76	19	486
77	19	486
78	19	485
79	20	484
80	20	482
81	20	481
82	20	481
83	21	480
84	21	479
85	21	479
86	21	479
87	22	478
88	22	477
89	22	479
90	22	480
91	23	479
92	23	478
93	23	478
94	23	478
95	24	479
96	24	478
97	24	477
98	24	476
99	25	476
100	25	476
101	25	476
102	25	476
103	26	476
104	26	481
105	26	481
106	27	480
107	27	480
108	27	479
109	27	479
110	28	478
111	28	478
112	28	478
113	28	477
114	29	477
115	29	477
116	29	476
117	29	475
118	30	475
119	30	477
120	30	477
121	31	477
122	31	477
123	31	477
124	31	477
125	32	476
126	32	476
127	32	476
128	32	475
129	33	475
130	33	474
131	33	474
132	33	474
133	34	474
134	34	473
135	34	473
136	34	472
137	35	472
138	35	471
139	35	471
140	35	470
141	35	470
142	36	469
143	36	469
144	36	468
145	36	467
146	37	467
147	37	467
148	37	466
149	37	466
150	38	465
151	38	464
152	38	464
153	38	464
154	38	463
155	39	463
156	39	463
157	39	463
158	39	462
159	40	462
160	40	461
161	40	461
162	40	461
163	41	460
164	41	460
165	41	459
166	41	459
167	42	459
168	42	458
169	42	458
170	42	457
171	43	457
172	43	456
173	43	455
174	43	454
175	43	454
176	44	453
177	44	452
178	44	452
179	44	452
180	44	451
181	45	450
182	45	450
183	45	450
184	45	449
185	46	449
186	46	448
187	46	448
188	46	447
189	46	447
190	47	447
191	47	448
192	47	447
193	48	452
194	48	452
195	49	452
196	49	451
197	49	451
198	49	451
199	50	450
200	50	450
201	50	449
202	50	450
203	51	450
204	51	450
205	51	449
206	51	449
207	52	449
208	52	449
209	52	449
210	53	450
211	53	450
212	53	450
213	53	450
214	54	449
215	54	449
216	54	449
217	54	448
218	55	448
219	55	448
220	55	447
221	55	447
222	56	447
223	56	447
224	56	446
225	56	446
226	57	445
227	57	445
228	57	445
229	57	445
230	58	445
231	58	445
232	58	444
233	58	444
234	59	444
235	59	444
236	59	443
237	59	443
238	60	442
239	60	442
240	60	442
241	60	442
242	61	442
243	61	442
244	61	441
245	61	441
246	62	440
247	62	440
248	62	440
249	62	439
250	63	439
251	63	439
252	63	438
253	63	438
254	64	438
255	64	437
256	64	437
257	64	437
258	65	437
259	65	436
260	65	436
261	65	436
262	65	435
263	66	435
264	66	434
265	66	434
266	66	434
267	67	433
268	67	433
269	67	432
270	67	432
271	68	432
272	68	432
273	68	431
274	68	431
275	69	431
276	69	430
277	69	430
278	69	430
279	70	430
280	70	430
281	70	429
282	70	429
283	71	429
284	71	429
285	71	429
286	71	429
287	72	428
288	72	428
289	72	428
290	72	427
291	73	427
292	73	427
293	73	427
294	73	427
295	74	426
296	74	426
297	74	426
298	74	425
299	75	425
300	75	425
301	75	424
302	75	425
303	76	425
304	76	424
305	76	424
306	76	423
307	77	423
308	77	423
309	77	423
310	77	422
311	78	422
312	78	422
313	78	422
314	78	421
315	79	421
316	79	421
317	79	420
318	79	420
319	80	420
320	80	419
321	80	419
322	80	418
323	80	418
324	81	418
325	81	418
326	81	417
327	81	417
328	82	417
329	82	416
330	82	416
331	82	416
332	83	415
333	83	415
334	83	414
335	83	414
336	83	414
337	84	413
338	84	413
339	84	413
340	84	412
341	85	412
342	85	412
343	85	411
344	85	411
345	86	411
346	86	411
347	86	411
348	86	411
349	87	411
350	87	410
351	87	410
352	87	410
353	88	410
354	88	410
355	88	410
356	89	410
357	89	410
358	89	409
359	89	409
360	90	409
361	90	409
362	90	408
363	90	408
364	91	408
365	91	408
366	91	407
367	91	407
368	92	406
369	92	406
370	92	406
371	92	406
372	93	405
373	94	409
374	94	408
375	94	408
376	94	408
377	95	408
378	95	407
379	95	407
380	95	406
381	96	406
382	96	406
383	96	406
384	96	406
385	97	406
386	97	405
387	97	405
388	97	405
389	98	405
390	98	405
391	98	405
392	98	404
393	99	404
394	99	403
395	99	403
396	99	403
397	100	403
398	100	402
399	100	402
400	100	402
401	101	401
402	101	401
403	101	401
404	101	401
405	102	401
406	102	401
407	102	401
408	103	401
409	103	400
410	103	400
411	103	400
412	104	399
413	104	399
414	104	399
415	104	399
416	105	399
417	105	398
418	105	398
419	105	398
420	106	397
421	106	397
422	106	397
423	106	396
424	106	396
425	107	395
426	107	395
427	107	394
428	107	394
429	108	394
430	108	394
431	108	394
432	108	394
433	109	393
434	109	393
435	109	393
436	109	393
437	110	392
438	110	392
439	110	392
440	110	392
441	111	391
442	111	393
443	112	393
444	112	392
445	112	392
446	112	392
447	113	391
448	113	391
449	113	391
450	113	391
451	114	390
452	114	390
453	114	389
454	114	389
455	114	389
456	115	389
457	115	389
458	115	388
459	116	388
460	117	391
461	117	391
462	117	391
463	118	391
464	118	390
465	118	390
466	118	390
467	119	389
468	119	389
469	119	389
470	119	389
471	120	388
472	120	388
473	120	388
474	120	388
475	121	387
476	121	389
477	122	389
478	122	388
479	122	388
480	122	388
481	123	387
482	123	387
483	123	387
484	123	386
485	124	386
486	124	386
487	124	385
488	124	385
489	124	385
490	125	384
491	125	384
492	125	384
493	126	384
494	126	383
495	126	383
496	126	383
497	127	383
498	127	383
499	127	383
500	127	382
501	128	382
502	128	381
503	128	381
504	128	381
505	129	381
506	129	381
507	129	380
508	129	380
509	130	380
510	130	380
511	130	379
512	130	379
513	131	379
514	132	381
515	132	381
516	132	380
517	132	380
518	133	380
519	133	380
520	133	379
521	134	379
522	134	379
523	134	379
524	134	378
525	135	378
526	135	378
527	135	377
528	135	377
529	136	377
530	136	376
531	136	376
532	136	376
533	137	376
534	137	375
535	137	375
536	137	375
537	137	374
538	138	374
539	138	374
540	138	374
541	139	373
542	139	373
543	139	373
544	139	373
545	140	372
546	140	372
547	140	372
548	140	371
549	140	371
550	141	371
551	141	371
552	141	370
553	141	370
554	142	370
555	142	369
556	142	369
557	142	369
558	143	369
559	143	368
560	143	368
561	143	368
562	144	367
563	144	367
564	145	369
565	145	368
566	145	368
567	146	368
568	146	367
569	146	367
570	146	367
571	146	366
572	147	366
573	147	366
574	147	366
575	148	365
576	148	365
577	148	365
578	148	365
579	149	365
580	149	364
581	149	364
582	149	364
583	150	363
584	150	364
585	150	364
586	151	363
587	151	363
588	151	363
589	151	362
590	152	362
591	152	362
592	152	361
593	152	361
594	152	361
595	153	360
596	153	360
597	153	359
598	153	359
599	153	359
600	154	358
601	154	358
602	154	358
603	154	357
604	155	357
605	155	357
606	155	356
607	155	356
608	155	356
609	156	355
610	156	355
611	156	355
612	156	354
613	157	354
614	157	354
615	157	354
616	157	353
617	158	353
618	158	353
619	158	353
620	158	352
621	159	352
622	159	352
623	159	351
624	159	351
625	160	351
626	160	351
627	160	350
628	160	350
629	161	350
630	161	350
631	161	349
632	161	349
633	162	349
634	162	348
635	162	348
636	162	348
637	162	347
638	163	347
639	163	347
640	163	346
641	163	346
642	164	346
643	164	346
644	164	345
645	165	346
646	165	346
647	166	346
648	166	346
649	166	345
650	166	345
651	166	345
652	167	344
653	167	344
654	167	344
655	167	344
656	168	343
657	168	343
658	168	343
659	169	343
660	169	343
661	169	342
662	169	342
663	170	342
664	170	342
665	170	341
666	170	341
667	171	341
668	171	340
669	171	340
670	171	340
671	172	339
672	172	339
673	172	339
674	172	339
675	173	338
676	173	338
677	173	338
678	173	338
679	174	337
680	174	337
681	174	337
682	174	337
683	175	336
684	175	336
685	175	336
686	175	335
687	175	335
688	176	335
689	176	334
690	176	334
691	176	334
692	177	333
693	177	333
694	177	333
695	177	333
696	178	332
697	178	332
698	178	332
699	178	332
700	179	332
701	179	331
702	179	331
703	180	331
704	180	331
705	180	330
706	180	330
707	180	330
708	181	329
709	181	329
710	181	329
711	181	329
712	182	328
713	182	328
714	182	328
715	183	328
716	183	327
717	183	327
718	183	327
719	184	327
720	184	326
721	184	326
722	184	326
723	185	326
724	185	325
725	185	325
726	185	325
727	186	325
728	186	324
729	186	324
730	186	324
731	187	323
732	187	323
733	187	323
734	187	323
735	188	322
736	188	322
737	188	322
738	188	322
739	189	321
740	189	321
741	189	321
742	189	320
743	189	320
744	190	320
745	190	320
746	190	319
747	190	319
748	191	319
749	191	318
750	191	318
751	191	318
752	192	318
753	192	317
754	192	317
755	192	317
756	193	317
757	193	316
758	193	316
759	193	316
760	194	316
761	194	315
762	194	315
763	194	315
764	195	315
765	195	314
766	195	314
767	195	314
768	196	314
769	196	313
770	196	313
771	197	313
772	197	313
773	197	312
774	197	312
775	198	312
776	198	312
777	198	311
778	198	311
